from,to,Freq,weight,from_name,from_Class,from_Gender,from_degree,from_Eigen,from_betweenness,to_name,to_Class,to_Gender,to_degree,to_Eigen,to_betweenness
1,8,12,12,1426,5B,M,83,0.043271465401921116,55.57971399423536,1435,5B,M,39,0.008789552107106689,10.101380280237278
2,8,5,5,1427,5B,F,47,0.022644310980042968,60.74398589440715,1435,5B,M,39,0.008789552107106689,10.101380280237278
3,8,4,4,1428,5B,M,82,0.030724865519447416,61.880057653283544,1435,5B,M,39,0.008789552107106689,10.101380280237278
4,8,5,5,1429,5B,F,64,0.038620083106409686,81.36160617371344,1435,5B,M,39,0.008789552107106689,10.101380280237278
5,8,7,7,1430,5B,M,37,0.0043821795464104914,21.087889708506683,1435,5B,M,39,0.008789552107106689,10.101380280237278
6,8,16,16,1431,5B,F,71,0.031528241471431614,92.51742937600609,1435,5B,M,39,0.008789552107106689,10.101380280237278
7,8,3,3,1434,5B,F,94,0.061389972994175326,163.22329818962757,1435,5B,M,39,0.008789552107106689,10.101380280237278
1,9,23,23,1426,5B,M,83,0.043271465401921116,55.57971399423536,1437,5B,F,95,0.1397362174672802,154.2793403471961
2,9,44,44,1427,5B,F,47,0.022644310980042968,60.74398589440715,1437,5B,F,95,0.1397362174672802,154.2793403471961
3,9,19,19,1428,5B,M,82,0.030724865519447416,61.880057653283544,1437,5B,F,95,0.1397362174672802,154.2793403471961
4,9,62,62,1429,5B,F,64,0.038620083106409686,81.36160617371344,1437,5B,F,95,0.1397362174672802,154.2793403471961
5,9,4,4,1430,5B,M,37,0.0043821795464104914,21.087889708506683,1437,5B,F,95,0.1397362174672802,154.2793403471961
6,9,42,42,1431,5B,F,71,0.031528241471431614,92.51742937600609,1437,5B,F,95,0.1397362174672802,154.2793403471961
7,9,8,8,1434,5B,F,94,0.061389972994175326,163.22329818962757,1437,5B,F,95,0.1397362174672802,154.2793403471961
8,9,6,6,1435,5B,M,39,0.008789552107106689,10.101380280237278,1437,5B,F,95,0.1397362174672802,154.2793403471961
1,10,27,27,1426,5B,M,83,0.043271465401921116,55.57971399423536,1439,5B,M,76,0.03155352317282955,52.729191264290655
2,10,13,13,1427,5B,F,47,0.022644310980042968,60.74398589440715,1439,5B,M,76,0.03155352317282955,52.729191264290655
3,10,14,14,1428,5B,M,82,0.030724865519447416,61.880057653283544,1439,5B,M,76,0.03155352317282955,52.729191264290655
4,10,36,36,1429,5B,F,64,0.038620083106409686,81.36160617371344,1439,5B,M,76,0.03155352317282955,52.729191264290655
5,10,3,3,1430,5B,M,37,0.0043821795464104914,21.087889708506683,1439,5B,M,76,0.03155352317282955,52.729191264290655
6,10,41,41,1431,5B,F,71,0.031528241471431614,92.51742937600609,1439,5B,M,76,0.03155352317282955,52.729191264290655
7,10,8,8,1434,5B,F,94,0.061389972994175326,163.22329818962757,1439,5B,M,76,0.03155352317282955,52.729191264290655
8,10,11,11,1435,5B,M,39,0.008789552107106689,10.101380280237278,1439,5B,M,76,0.03155352317282955,52.729191264290655
9,10,29,29,1437,5B,F,95,0.1397362174672802,154.2793403471961,1439,5B,M,76,0.03155352317282955,52.729191264290655
1,11,8,8,1426,5B,M,83,0.043271465401921116,55.57971399423536,1441,5B,M,32,0.005430421949461375,11.179060601304842
2,11,8,8,1427,5B,F,47,0.022644310980042968,60.74398589440715,1441,5B,M,32,0.005430421949461375,11.179060601304842
3,11,4,4,1428,5B,M,82,0.030724865519447416,61.880057653283544,1441,5B,M,32,0.005430421949461375,11.179060601304842
4,11,3,3,1429,5B,F,64,0.038620083106409686,81.36160617371344,1441,5B,M,32,0.005430421949461375,11.179060601304842
6,11,1,1,1431,5B,F,71,0.031528241471431614,92.51742937600609,1441,5B,M,32,0.005430421949461375,11.179060601304842
7,11,2,2,1434,5B,F,94,0.061389972994175326,163.22329818962757,1441,5B,M,32,0.005430421949461375,11.179060601304842
8,11,6,6,1435,5B,M,39,0.008789552107106689,10.101380280237278,1441,5B,M,32,0.005430421949461375,11.179060601304842
9,11,3,3,1437,5B,F,95,0.1397362174672802,154.2793403471961,1441,5B,M,32,0.005430421949461375,11.179060601304842
10,11,2,2,1439,5B,M,76,0.03155352317282955,52.729191264290655,1441,5B,M,32,0.005430421949461375,11.179060601304842
1,12,44,44,1426,5B,M,83,0.043271465401921116,55.57971399423536,1443,5B,F,96,0.04913317503857255,200.48925709830635
2,12,45,45,1427,5B,F,47,0.022644310980042968,60.74398589440715,1443,5B,F,96,0.04913317503857255,200.48925709830635
3,12,4,4,1428,5B,M,82,0.030724865519447416,61.880057653283544,1443,5B,F,96,0.04913317503857255,200.48925709830635
4,12,30,30,1429,5B,F,64,0.038620083106409686,81.36160617371344,1443,5B,F,96,0.04913317503857255,200.48925709830635
5,12,9,9,1430,5B,M,37,0.0043821795464104914,21.087889708506683,1443,5B,F,96,0.04913317503857255,200.48925709830635
6,12,31,31,1431,5B,F,71,0.031528241471431614,92.51742937600609,1443,5B,F,96,0.04913317503857255,200.48925709830635
7,12,71,71,1434,5B,F,94,0.061389972994175326,163.22329818962757,1443,5B,F,96,0.04913317503857255,200.48925709830635
8,12,15,15,1435,5B,M,39,0.008789552107106689,10.101380280237278,1443,5B,F,96,0.04913317503857255,200.48925709830635
9,12,38,38,1437,5B,F,95,0.1397362174672802,154.2793403471961,1443,5B,F,96,0.04913317503857255,200.48925709830635
10,12,25,25,1439,5B,M,76,0.03155352317282955,52.729191264290655,1443,5B,F,96,0.04913317503857255,200.48925709830635
11,12,5,5,1441,5B,M,32,0.005430421949461375,11.179060601304842,1443,5B,F,96,0.04913317503857255,200.48925709830635
1,13,1,1,1426,5B,M,83,0.043271465401921116,55.57971399423536,1451,5A,F,53,0.02268853247504193,121.33308818512398
2,13,1,1,1427,5B,F,47,0.022644310980042968,60.74398589440715,1451,5A,F,53,0.02268853247504193,121.33308818512398
3,13,4,4,1428,5B,M,82,0.030724865519447416,61.880057653283544,1451,5A,F,53,0.02268853247504193,121.33308818512398
4,13,1,1,1429,5B,F,64,0.038620083106409686,81.36160617371344,1451,5A,F,53,0.02268853247504193,121.33308818512398
5,13,1,1,1430,5B,M,37,0.0043821795464104914,21.087889708506683,1451,5A,F,53,0.02268853247504193,121.33308818512398
7,13,3,3,1434,5B,F,94,0.061389972994175326,163.22329818962757,1451,5A,F,53,0.02268853247504193,121.33308818512398
9,13,5,5,1437,5B,F,95,0.1397362174672802,154.2793403471961,1451,5A,F,53,0.02268853247504193,121.33308818512398
12,13,4,4,1443,5B,F,96,0.04913317503857255,200.48925709830635,1451,5A,F,53,0.02268853247504193,121.33308818512398
1,14,11,11,1426,5B,M,83,0.043271465401921116,55.57971399423536,1452,5A,M,77,0.05511405069046251,134.66675480493703
2,14,1,1,1427,5B,F,47,0.022644310980042968,60.74398589440715,1452,5A,M,77,0.05511405069046251,134.66675480493703
3,14,8,8,1428,5B,M,82,0.030724865519447416,61.880057653283544,1452,5A,M,77,0.05511405069046251,134.66675480493703
4,14,2,2,1429,5B,F,64,0.038620083106409686,81.36160617371344,1452,5A,M,77,0.05511405069046251,134.66675480493703
6,14,3,3,1431,5B,F,71,0.031528241471431614,92.51742937600609,1452,5A,M,77,0.05511405069046251,134.66675480493703
8,14,3,3,1435,5B,M,39,0.008789552107106689,10.101380280237278,1452,5A,M,77,0.05511405069046251,134.66675480493703
9,14,3,3,1437,5B,F,95,0.1397362174672802,154.2793403471961,1452,5A,M,77,0.05511405069046251,134.66675480493703
10,14,1,1,1439,5B,M,76,0.03155352317282955,52.729191264290655,1452,5A,M,77,0.05511405069046251,134.66675480493703
11,14,2,2,1441,5B,M,32,0.005430421949461375,11.179060601304842,1452,5A,M,77,0.05511405069046251,134.66675480493703
12,14,3,3,1443,5B,F,96,0.04913317503857255,200.48925709830635,1452,5A,M,77,0.05511405069046251,134.66675480493703
13,14,38,38,1451,5A,F,53,0.02268853247504193,121.33308818512398,1452,5A,M,77,0.05511405069046251,134.66675480493703
2,15,2,2,1427,5B,F,47,0.022644310980042968,60.74398589440715,1453,5A,F,57,0.027710716052961888,91.81992073270504
3,15,1,1,1428,5B,M,82,0.030724865519447416,61.880057653283544,1453,5A,F,57,0.027710716052961888,91.81992073270504
4,15,40,40,1429,5B,F,64,0.038620083106409686,81.36160617371344,1453,5A,F,57,0.027710716052961888,91.81992073270504
5,15,1,1,1430,5B,M,37,0.0043821795464104914,21.087889708506683,1453,5A,F,57,0.027710716052961888,91.81992073270504
6,15,45,45,1431,5B,F,71,0.031528241471431614,92.51742937600609,1453,5A,F,57,0.027710716052961888,91.81992073270504
9,15,46,46,1437,5B,F,95,0.1397362174672802,154.2793403471961,1453,5A,F,57,0.027710716052961888,91.81992073270504
12,15,3,3,1443,5B,F,96,0.04913317503857255,200.48925709830635,1453,5A,F,57,0.027710716052961888,91.81992073270504
13,15,7,7,1451,5A,F,53,0.02268853247504193,121.33308818512398,1453,5A,F,57,0.027710716052961888,91.81992073270504
14,15,11,11,1452,5A,M,77,0.05511405069046251,134.66675480493703,1453,5A,F,57,0.027710716052961888,91.81992073270504
1,16,3,3,1426,5B,M,83,0.043271465401921116,55.57971399423536,1457,5A,F,111,0.08579374349009913,228.77999073509542
2,16,10,10,1427,5B,F,47,0.022644310980042968,60.74398589440715,1457,5A,F,111,0.08579374349009913,228.77999073509542
3,16,16,16,1428,5B,M,82,0.030724865519447416,61.880057653283544,1457,5A,F,111,0.08579374349009913,228.77999073509542
4,16,56,56,1429,5B,F,64,0.038620083106409686,81.36160617371344,1457,5A,F,111,0.08579374349009913,228.77999073509542
6,16,24,24,1431,5B,F,71,0.031528241471431614,92.51742937600609,1457,5A,F,111,0.08579374349009913,228.77999073509542
7,16,6,6,1434,5B,F,94,0.061389972994175326,163.22329818962757,1457,5A,F,111,0.08579374349009913,228.77999073509542
9,16,116,116,1437,5B,F,95,0.1397362174672802,154.2793403471961,1457,5A,F,111,0.08579374349009913,228.77999073509542
10,16,1,1,1439,5B,M,76,0.03155352317282955,52.729191264290655,1457,5A,F,111,0.08579374349009913,228.77999073509542
11,16,1,1,1441,5B,M,32,0.005430421949461375,11.179060601304842,1457,5A,F,111,0.08579374349009913,228.77999073509542
12,16,11,11,1443,5B,F,96,0.04913317503857255,200.48925709830635,1457,5A,F,111,0.08579374349009913,228.77999073509542
13,16,25,25,1451,5A,F,53,0.02268853247504193,121.33308818512398,1457,5A,F,111,0.08579374349009913,228.77999073509542
14,16,56,56,1452,5A,M,77,0.05511405069046251,134.66675480493703,1457,5A,F,111,0.08579374349009913,228.77999073509542
15,16,173,173,1453,5A,F,57,0.027710716052961888,91.81992073270504,1457,5A,F,111,0.08579374349009913,228.77999073509542
1,17,3,3,1426,5B,M,83,0.043271465401921116,55.57971399423536,1458,5A,M,98,0.07271372694951257,296.1147694373235
2,17,3,3,1427,5B,F,47,0.022644310980042968,60.74398589440715,1458,5A,M,98,0.07271372694951257,296.1147694373235
3,17,4,4,1428,5B,M,82,0.030724865519447416,61.880057653283544,1458,5A,M,98,0.07271372694951257,296.1147694373235
4,17,1,1,1429,5B,F,64,0.038620083106409686,81.36160617371344,1458,5A,M,98,0.07271372694951257,296.1147694373235
5,17,1,1,1430,5B,M,37,0.0043821795464104914,21.087889708506683,1458,5A,M,98,0.07271372694951257,296.1147694373235
6,17,1,1,1431,5B,F,71,0.031528241471431614,92.51742937600609,1458,5A,M,98,0.07271372694951257,296.1147694373235
8,17,8,8,1435,5B,M,39,0.008789552107106689,10.101380280237278,1458,5A,M,98,0.07271372694951257,296.1147694373235
9,17,2,2,1437,5B,F,95,0.1397362174672802,154.2793403471961,1458,5A,M,98,0.07271372694951257,296.1147694373235
10,17,1,1,1439,5B,M,76,0.03155352317282955,52.729191264290655,1458,5A,M,98,0.07271372694951257,296.1147694373235
12,17,2,2,1443,5B,F,96,0.04913317503857255,200.48925709830635,1458,5A,M,98,0.07271372694951257,296.1147694373235
13,17,6,6,1451,5A,F,53,0.02268853247504193,121.33308818512398,1458,5A,M,98,0.07271372694951257,296.1147694373235
14,17,234,234,1452,5A,M,77,0.05511405069046251,134.66675480493703,1458,5A,M,98,0.07271372694951257,296.1147694373235
15,17,18,18,1453,5A,F,57,0.027710716052961888,91.81992073270504,1458,5A,M,98,0.07271372694951257,296.1147694373235
16,17,33,33,1457,5A,F,111,0.08579374349009913,228.77999073509542,1458,5A,M,98,0.07271372694951257,296.1147694373235
1,18,13,13,1426,5B,M,83,0.043271465401921116,55.57971399423536,1459,5A,M,63,0.02144985876817605,196.85542640488183
3,18,3,3,1428,5B,M,82,0.030724865519447416,61.880057653283544,1459,5A,M,63,0.02144985876817605,196.85542640488183
6,18,2,2,1431,5B,F,71,0.031528241471431614,92.51742937600609,1459,5A,M,63,0.02144985876817605,196.85542640488183
7,18,4,4,1434,5B,F,94,0.061389972994175326,163.22329818962757,1459,5A,M,63,0.02144985876817605,196.85542640488183
8,18,2,2,1435,5B,M,39,0.008789552107106689,10.101380280237278,1459,5A,M,63,0.02144985876817605,196.85542640488183
9,18,1,1,1437,5B,F,95,0.1397362174672802,154.2793403471961,1459,5A,M,63,0.02144985876817605,196.85542640488183
10,18,7,7,1439,5B,M,76,0.03155352317282955,52.729191264290655,1459,5A,M,63,0.02144985876817605,196.85542640488183
11,18,2,2,1441,5B,M,32,0.005430421949461375,11.179060601304842,1459,5A,M,63,0.02144985876817605,196.85542640488183
12,18,3,3,1443,5B,F,96,0.04913317503857255,200.48925709830635,1459,5A,M,63,0.02144985876817605,196.85542640488183
13,18,10,10,1451,5A,F,53,0.02268853247504193,121.33308818512398,1459,5A,M,63,0.02144985876817605,196.85542640488183
14,18,40,40,1452,5A,M,77,0.05511405069046251,134.66675480493703,1459,5A,M,63,0.02144985876817605,196.85542640488183
15,18,18,18,1453,5A,F,57,0.027710716052961888,91.81992073270504,1459,5A,M,63,0.02144985876817605,196.85542640488183
16,18,26,26,1457,5A,F,111,0.08579374349009913,228.77999073509542,1459,5A,M,63,0.02144985876817605,196.85542640488183
17,18,30,30,1458,5A,M,98,0.07271372694951257,296.1147694373235,1459,5A,M,63,0.02144985876817605,196.85542640488183
2,19,1,1,1427,5B,F,47,0.022644310980042968,60.74398589440715,1461,5A,F,48,0.026403076899686413,112.48967711350906
3,19,1,1,1428,5B,M,82,0.030724865519447416,61.880057653283544,1461,5A,F,48,0.026403076899686413,112.48967711350906
5,19,1,1,1430,5B,M,37,0.0043821795464104914,21.087889708506683,1461,5A,F,48,0.026403076899686413,112.48967711350906
12,19,1,1,1443,5B,F,96,0.04913317503857255,200.48925709830635,1461,5A,F,48,0.026403076899686413,112.48967711350906
13,19,17,17,1451,5A,F,53,0.02268853247504193,121.33308818512398,1461,5A,F,48,0.026403076899686413,112.48967711350906
14,19,24,24,1452,5A,M,77,0.05511405069046251,134.66675480493703,1461,5A,F,48,0.026403076899686413,112.48967711350906
15,19,59,59,1453,5A,F,57,0.027710716052961888,91.81992073270504,1461,5A,F,48,0.026403076899686413,112.48967711350906
16,19,44,44,1457,5A,F,111,0.08579374349009913,228.77999073509542,1461,5A,F,48,0.026403076899686413,112.48967711350906
17,19,101,101,1458,5A,M,98,0.07271372694951257,296.1147694373235,1461,5A,F,48,0.026403076899686413,112.48967711350906
18,19,2,2,1459,5A,M,63,0.02144985876817605,196.85542640488183,1461,5A,F,48,0.026403076899686413,112.48967711350906
1,20,12,12,1426,5B,M,83,0.043271465401921116,55.57971399423536,1465,5B,F,61,0.03739761545844901,355.55180636212145
2,20,151,151,1427,5B,F,47,0.022644310980042968,60.74398589440715,1465,5B,F,61,0.03739761545844901,355.55180636212145
3,20,8,8,1428,5B,M,82,0.030724865519447416,61.880057653283544,1465,5B,F,61,0.03739761545844901,355.55180636212145
4,20,58,58,1429,5B,F,64,0.038620083106409686,81.36160617371344,1465,5B,F,61,0.03739761545844901,355.55180636212145
5,20,1,1,1430,5B,M,37,0.0043821795464104914,21.087889708506683,1465,5B,F,61,0.03739761545844901,355.55180636212145
6,20,89,89,1431,5B,F,71,0.031528241471431614,92.51742937600609,1465,5B,F,61,0.03739761545844901,355.55180636212145
7,20,1,1,1434,5B,F,94,0.061389972994175326,163.22329818962757,1465,5B,F,61,0.03739761545844901,355.55180636212145
8,20,5,5,1435,5B,M,39,0.008789552107106689,10.101380280237278,1465,5B,F,61,0.03739761545844901,355.55180636212145
9,20,129,129,1437,5B,F,95,0.1397362174672802,154.2793403471961,1465,5B,F,61,0.03739761545844901,355.55180636212145
10,20,24,24,1439,5B,M,76,0.03155352317282955,52.729191264290655,1465,5B,F,61,0.03739761545844901,355.55180636212145
11,20,1,1,1441,5B,M,32,0.005430421949461375,11.179060601304842,1465,5B,F,61,0.03739761545844901,355.55180636212145
12,20,138,138,1443,5B,F,96,0.04913317503857255,200.48925709830635,1465,5B,F,61,0.03739761545844901,355.55180636212145
14,20,2,2,1452,5A,M,77,0.05511405069046251,134.66675480493703,1465,5B,F,61,0.03739761545844901,355.55180636212145
16,20,8,8,1457,5A,F,111,0.08579374349009913,228.77999073509542,1465,5B,F,61,0.03739761545844901,355.55180636212145
17,20,4,4,1458,5A,M,98,0.07271372694951257,296.1147694373235,1465,5B,F,61,0.03739761545844901,355.55180636212145
18,20,1,1,1459,5A,M,63,0.02144985876817605,196.85542640488183,1465,5B,F,61,0.03739761545844901,355.55180636212145
1,21,51,51,1426,5B,M,83,0.043271465401921116,55.57971399423536,1468,5A,M,84,0.045921799158919335,304.61054774228086
3,21,7,7,1428,5B,M,82,0.030724865519447416,61.880057653283544,1468,5A,M,84,0.045921799158919335,304.61054774228086
5,21,3,3,1430,5B,M,37,0.0043821795464104914,21.087889708506683,1468,5A,M,84,0.045921799158919335,304.61054774228086
8,21,1,1,1435,5B,M,39,0.008789552107106689,10.101380280237278,1468,5A,M,84,0.045921799158919335,304.61054774228086
9,21,1,1,1437,5B,F,95,0.1397362174672802,154.2793403471961,1468,5A,M,84,0.045921799158919335,304.61054774228086
12,21,1,1,1443,5B,F,96,0.04913317503857255,200.48925709830635,1468,5A,M,84,0.045921799158919335,304.61054774228086
13,21,25,25,1451,5A,F,53,0.02268853247504193,121.33308818512398,1468,5A,M,84,0.045921799158919335,304.61054774228086
14,21,113,113,1452,5A,M,77,0.05511405069046251,134.66675480493703,1468,5A,M,84,0.045921799158919335,304.61054774228086
15,21,27,27,1453,5A,F,57,0.027710716052961888,91.81992073270504,1468,5A,M,84,0.045921799158919335,304.61054774228086
16,21,39,39,1457,5A,F,111,0.08579374349009913,228.77999073509542,1468,5A,M,84,0.045921799158919335,304.61054774228086
17,21,39,39,1458,5A,M,98,0.07271372694951257,296.1147694373235,1468,5A,M,84,0.045921799158919335,304.61054774228086
18,21,20,20,1459,5A,M,63,0.02144985876817605,196.85542640488183,1468,5A,M,84,0.045921799158919335,304.61054774228086
19,21,11,11,1461,5A,F,48,0.026403076899686413,112.48967711350906,1468,5A,M,84,0.045921799158919335,304.61054774228086
20,21,1,1,1465,5B,F,61,0.03739761545844901,355.55180636212145,1468,5A,M,84,0.045921799158919335,304.61054774228086
1,22,59,59,1426,5B,M,83,0.043271465401921116,55.57971399423536,1471,5B,M,53,0.01764430645432262,34.556027343847134
2,22,11,11,1427,5B,F,47,0.022644310980042968,60.74398589440715,1471,5B,M,53,0.01764430645432262,34.556027343847134
3,22,19,19,1428,5B,M,82,0.030724865519447416,61.880057653283544,1471,5B,M,53,0.01764430645432262,34.556027343847134
4,22,20,20,1429,5B,F,64,0.038620083106409686,81.36160617371344,1471,5B,M,53,0.01764430645432262,34.556027343847134
5,22,4,4,1430,5B,M,37,0.0043821795464104914,21.087889708506683,1471,5B,M,53,0.01764430645432262,34.556027343847134
6,22,17,17,1431,5B,F,71,0.031528241471431614,92.51742937600609,1471,5B,M,53,0.01764430645432262,34.556027343847134
7,22,4,4,1434,5B,F,94,0.061389972994175326,163.22329818962757,1471,5B,M,53,0.01764430645432262,34.556027343847134
8,22,70,70,1435,5B,M,39,0.008789552107106689,10.101380280237278,1471,5B,M,53,0.01764430645432262,34.556027343847134
9,22,19,19,1437,5B,F,95,0.1397362174672802,154.2793403471961,1471,5B,M,53,0.01764430645432262,34.556027343847134
10,22,83,83,1439,5B,M,76,0.03155352317282955,52.729191264290655,1471,5B,M,53,0.01764430645432262,34.556027343847134
11,22,4,4,1441,5B,M,32,0.005430421949461375,11.179060601304842,1471,5B,M,53,0.01764430645432262,34.556027343847134
12,22,10,10,1443,5B,F,96,0.04913317503857255,200.48925709830635,1471,5B,M,53,0.01764430645432262,34.556027343847134
13,22,1,1,1451,5A,F,53,0.02268853247504193,121.33308818512398,1471,5B,M,53,0.01764430645432262,34.556027343847134
14,22,36,36,1452,5A,M,77,0.05511405069046251,134.66675480493703,1471,5B,M,53,0.01764430645432262,34.556027343847134
15,22,2,2,1453,5A,F,57,0.027710716052961888,91.81992073270504,1471,5B,M,53,0.01764430645432262,34.556027343847134
16,22,7,7,1457,5A,F,111,0.08579374349009913,228.77999073509542,1471,5B,M,53,0.01764430645432262,34.556027343847134
18,22,17,17,1459,5A,M,63,0.02144985876817605,196.85542640488183,1471,5B,M,53,0.01764430645432262,34.556027343847134
20,22,8,8,1465,5B,F,61,0.03739761545844901,355.55180636212145,1471,5B,M,53,0.01764430645432262,34.556027343847134
21,22,2,2,1468,5A,M,84,0.045921799158919335,304.61054774228086,1471,5B,M,53,0.01764430645432262,34.556027343847134
1,23,9,9,1426,5B,M,83,0.043271465401921116,55.57971399423536,1475,5B,F,46,0.01833450986157257,57.119124744746536
2,23,16,16,1427,5B,F,47,0.022644310980042968,60.74398589440715,1475,5B,F,46,0.01833450986157257,57.119124744746536
3,23,4,4,1428,5B,M,82,0.030724865519447416,61.880057653283544,1475,5B,F,46,0.01833450986157257,57.119124744746536
4,23,16,16,1429,5B,F,64,0.038620083106409686,81.36160617371344,1475,5B,F,46,0.01833450986157257,57.119124744746536
5,23,7,7,1430,5B,M,37,0.0043821795464104914,21.087889708506683,1475,5B,F,46,0.01833450986157257,57.119124744746536
6,23,10,10,1431,5B,F,71,0.031528241471431614,92.51742937600609,1475,5B,F,46,0.01833450986157257,57.119124744746536
7,23,158,158,1434,5B,F,94,0.061389972994175326,163.22329818962757,1475,5B,F,46,0.01833450986157257,57.119124744746536
8,23,9,9,1435,5B,M,39,0.008789552107106689,10.101380280237278,1475,5B,F,46,0.01833450986157257,57.119124744746536
9,23,18,18,1437,5B,F,95,0.1397362174672802,154.2793403471961,1475,5B,F,46,0.01833450986157257,57.119124744746536
10,23,14,14,1439,5B,M,76,0.03155352317282955,52.729191264290655,1475,5B,F,46,0.01833450986157257,57.119124744746536
11,23,5,5,1441,5B,M,32,0.005430421949461375,11.179060601304842,1475,5B,F,46,0.01833450986157257,57.119124744746536
12,23,106,106,1443,5B,F,96,0.04913317503857255,200.48925709830635,1475,5B,F,46,0.01833450986157257,57.119124744746536
16,23,1,1,1457,5A,F,111,0.08579374349009913,228.77999073509542,1475,5B,F,46,0.01833450986157257,57.119124744746536
20,23,4,4,1465,5B,F,61,0.03739761545844901,355.55180636212145,1475,5B,F,46,0.01833450986157257,57.119124744746536
22,23,4,4,1471,5B,M,53,0.01764430645432262,34.556027343847134,1475,5B,F,46,0.01833450986157257,57.119124744746536
1,24,11,11,1426,5B,M,83,0.043271465401921116,55.57971399423536,1477,5A,M,98,0.04200824872595394,401.5998716488731
2,24,3,3,1427,5B,F,47,0.022644310980042968,60.74398589440715,1477,5A,M,98,0.04200824872595394,401.5998716488731
3,24,18,18,1428,5B,M,82,0.030724865519447416,61.880057653283544,1477,5A,M,98,0.04200824872595394,401.5998716488731
4,24,2,2,1429,5B,F,64,0.038620083106409686,81.36160617371344,1477,5A,M,98,0.04200824872595394,401.5998716488731
5,24,1,1,1430,5B,M,37,0.0043821795464104914,21.087889708506683,1477,5A,M,98,0.04200824872595394,401.5998716488731
6,24,2,2,1431,5B,F,71,0.031528241471431614,92.51742937600609,1477,5A,M,98,0.04200824872595394,401.5998716488731
7,24,3,3,1434,5B,F,94,0.061389972994175326,163.22329818962757,1477,5A,M,98,0.04200824872595394,401.5998716488731
8,24,6,6,1435,5B,M,39,0.008789552107106689,10.101380280237278,1477,5A,M,98,0.04200824872595394,401.5998716488731
9,24,6,6,1437,5B,F,95,0.1397362174672802,154.2793403471961,1477,5A,M,98,0.04200824872595394,401.5998716488731
10,24,9,9,1439,5B,M,76,0.03155352317282955,52.729191264290655,1477,5A,M,98,0.04200824872595394,401.5998716488731
11,24,2,2,1441,5B,M,32,0.005430421949461375,11.179060601304842,1477,5A,M,98,0.04200824872595394,401.5998716488731
12,24,1,1,1443,5B,F,96,0.04913317503857255,200.48925709830635,1477,5A,M,98,0.04200824872595394,401.5998716488731
13,24,11,11,1451,5A,F,53,0.02268853247504193,121.33308818512398,1477,5A,M,98,0.04200824872595394,401.5998716488731
14,24,196,196,1452,5A,M,77,0.05511405069046251,134.66675480493703,1477,5A,M,98,0.04200824872595394,401.5998716488731
